Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar
ABAYIO_clean,0.0002638719,0.132540072,0.252508328,1.090760451
ABAYOU_clean,0.000286783,0.139225872,0.272784979,1.159416119
ABETIN_clean,0.0003550387,0.178893518,0.351670648,1.740057024
ABEXIQ_clean,0.0001011279,0.042123737,0.083814211,0.375028862
ABIYIV_clean,0.000188994,0.087102195,0.165457136,0.593435662
ABULOB_clean,0.0010267868,0.484422713,0.879297305,2.784901068
ABUWOJ_clean,0.0004401993,0.226331845,0.43520245,1.843864028
ac403674p_si_001_clean,8.90342e-05,0.046070456,0.092070821,0.438881712
ACAJIZ_clean,0.0001093561,0.053821417,0.104594534,0.471094146
ACAJOF_clean,8.71682e-05,0.049845954,0.101629175,0.474427808
ACIBIY_clean,2.68048e-05,0.015701763,0.029695013,0.143350696
ACIBOE_clean,0.0002494177,0.121054857,0.237797283,1.067869204
ACOGAB_clean,0.0007050113,0.314520645,0.590743183,2.051323937
ACOGEF_clean,0.0005377384,0.286391699,0.536842845,1.892583569
ACOLIP_clean,0.0005350434,0.252716906,0.493653268,1.818311367
ACOLOV_clean,0.0002121457,0.11451881,0.228637254,1.051411713
acs.cgd.5b01554_VAGNUP1452791_clean,4.15244e-05,0.020703163,0.041219928,0.201352013
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0002029266,0.114344565,0.218781069,0.882580117
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0010993983,0.349759376,0.610086248,2.018233685
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0004157453,0.266213816,0.494752688,2.049350644
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0003311322,0.151401729,0.300057137,1.367280918
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0004163126,0.202923665,0.399999214,1.799613349
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0005513654,0.228114183,0.40891221,1.270093565
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.0001711457,0.077762251,0.153902759,0.662678859
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0013287594,0.533212449,0.965581158,2.50471546
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0014452315,0.554655361,0.940655592,2.817447938
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0003767189,0.174683197,0.335425104,1.35326434
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.000556668,0.267574023,0.490569619,1.825417981
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.0005788201,0.255503016,0.485890943,1.867429199
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.000317764,0.168196451,0.323193058,1.220912434
acs.inorgchem.6b01569_ic6b01569_si_002_clean,6.527e-05,0.03709101,0.073886945,0.345832839
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0004754571,0.205408048,0.407885872,1.927052422
acs.inorgchem.6b01762_ic6b01762_si_002_clean,3.99732e-05,0.020814527,0.040025512,0.184161324
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0006997214,0.33316068,0.644303461,2.608969533
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0006670677,0.311943962,0.594882139,2.255927435
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001554668,0.076075495,0.152444123,0.667395344
acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.0004354112,0.198837374,0.384613699,1.651790539
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.0002039766,0.089744371,0.176526647,0.777415025
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0001692301,0.080327119,0.162792482,0.790082673
acscombsci.5b00188_24205_clean,0.0005025092,0.270903135,0.51301938,1.914116444
acscombsci.5b00188_3001288_clean,0.0004597127,0.200344815,0.395762709,1.959515601
acscombsci.5b00188_34903_clean,0.0015234968,0.613077419,1.078449963,2.743162355
acscombsci.5b00188_5013797_clean,0.000300265,0.140283234,0.281099013,1.27196213
acscombsci.5b00188_5020072_clean,0.0002881079,0.134206215,0.274834113,1.310304331
acscombsci.5b00188_5024922_clean,0.0003201839,0.160435022,0.315742527,1.516180713
acscombsci.5b00188_5036495_clean,0.0003823186,0.158201682,0.321078077,1.56722804
acscombsci.5b00188_5040209_clean,0.0007873691,0.366986659,0.67504783,2.092148595
acscombsci.5b00188_8372_clean,0.0010405969,0.407308545,0.675018178,1.761189434
ACUBAB_clean,0.0001709881,0.0820916,0.157832411,0.612417111
ACUFEK_clean,0.000357184,0.174706895,0.345642863,1.581315075
ACUJOZ_manual,0.000262522,0.126714611,0.247914768,1.175161971
ACUTOI_clean,8.71734e-05,0.047584088,0.092405589,0.391664639
ADARAA_clean,0.0004929978,0.21403032,0.410256331,1.781257421
ADASEF_clean,0.0004264598,0.204942388,0.395849509,1.758805709
ADASIJ_clean,0.0003586742,0.165311825,0.3321323,1.496251909
ADASOP_clean,0.0003783585,0.203791957,0.402430157,1.726431361
ADASUV_clean,0.000320877,0.160265169,0.316277796,1.469782785
ADATAC_clean,0.0004675235,0.232907312,0.453610648,2.04465224
ADATEG_manual,0.0004479988,0.193492406,0.381578672,1.829437569
ADATIK_clean,0.00031939,0.181732887,0.35743621,1.657810853
ADAXEK_clean,0.0004773567,0.220026392,0.418230139,1.434248788
ADAXIO_clean,0.0002102121,0.11359994,0.225616721,0.89590268
ADIQEL_clean,0.0012864019,0.543352323,0.950952098,2.814792091
ADOBIF_clean,0.0004524208,0.19367597,0.329405273,0.982486178
ADOCEC_clean,0.000191633,0.095273297,0.18685647,0.755187809
